"","model","itter","acc","kappa","sensW","sensL","sensD"
"68","knn",14,0.7125,0.515916863983162,0.857142857142857,0.571428571428571,0.529411764705882
"69","NB",14,0.7,0.490986214209968,0.904761904761905,0.523809523809524,0.411764705882353
"70","mlog",14,0.7125,0.517187090002624,0.857142857142857,0.80952380952381,0.235294117647059
"71","rf",15,0.5625,0.325301204819277,0.75,0.555555555555556,0.307692307692308
"72","nnet",15,0.6375,0.439613526570048,0.777777777777778,0.722222222222222,0.384615384615385
"73","knn",15,0.5875,0.347826086956522,0.888888888888889,0.666666666666667,0.115384615384615
"74","NB",15,0.575,0.325396825396825,0.833333333333333,0.5,0.269230769230769
"75","mlog",15,0.6125,0.390962671905698,0.861111111111111,0.666666666666667,0.230769230769231
"76","rf",16,0.5625,0.309834853339906,0.75,0.608695652173913,0.19047619047619
"77","nnet",16,0.6,0.366963402571711,0.777777777777778,0.826086956521739,0.0476190476190476
"78","knn",16,0.575,0.324894514767932,0.777777777777778,0.565217391304348,0.238095238095238
"79","NB",16,0.675,0.485403265710045,0.861111111111111,0.652173913043478,0.380952380952381
"80","mlog",16,0.65,0.443201590852598,0.833333333333333,0.739130434782609,0.238095238095238
"81","rf",17,0.6,0.329491880565741,0.80952380952381,0.476190476190476,0.235294117647059
"82","nnet",17,0.6375,0.385430463576159,0.785714285714286,0.857142857142857,0
"83","knn",17,0.6125,0.358344113842173,0.761904761904762,0.619047619047619,0.235294117647059
"84","NB",17,0.625,0.387598877264608,0.761904761904762,0.666666666666667,0.235294117647059
"85","mlog",17,0.6875,0.484801648634724,0.785714285714286,0.761904761904762,0.352941176470588
"86","rf",18,0.6625,0.433813892529489,0.878048780487805,0.736842105263158,0.15
"87","nnet",18,0.6875,0.476987447698745,0.902439024390244,0.947368421052632,0
"88","knn",18,0.7,0.501686997145082,0.878048780487805,0.631578947368421,0.4
"89","NB",18,0.75,0.578281497100685,0.951219512195122,0.842105263157895,0.25
"90","mlog",18,0.7,0.49738219895288,0.878048780487805,0.894736842105263,0.15
"91","rf",19,0.55,0.27765237020316,0.777777777777778,0.391304347826087,0.333333333333333
"92","nnet",19,0.5625,0.304174950298211,0.805555555555556,0.391304347826087,0.333333333333333
"93","knn",19,0.5625,0.297717582141961,0.777777777777778,0.347826086956522,0.428571428571429
"94","NB",19,0.55,0.292209388056034,0.722222222222222,0.478260869565217,0.333333333333333
"95","mlog",19,0.6,0.366179747462243,0.805555555555556,0.434782608695652,0.428571428571429
"96","rf",20,0.6625,0.419978517722879,0.804347826086957,0.75,0.222222222222222
"97","nnet",20,0.6875,0.466382070437567,0.804347826086957,0.8125,0.277777777777778
"98","knn",20,0.675,0.440559440559441,0.804347826086957,0.75,0.277777777777778
"99","NB",20,0.625,0.364406779661017,0.760869565217391,0.75,0.166666666666667
"100","mlog",20,0.7125,0.498090561920349,0.847826086956522,0.9375,0.166666666666667
"101","rf",21,0.575,0.325062034739454,0.8,0.541666666666667,0.238095238095238
"102","nnet",21,0.5625,0.320388349514563,0.714285714285714,0.5,0.380952380952381
"103","knn",21,0.55,0.277471149021576,0.828571428571429,0.375,0.285714285714286
"104","NB",21,0.5,0.210656142081894,0.771428571428571,0.291666666666667,0.285714285714286
"105","mlog",21,0.6,0.36914736323312,0.771428571428571,0.583333333333333,0.333333333333333
"106","rf",22,0.5375,0.262948207171315,0.771428571428571,0.458333333333333,0.238095238095238
"107","nnet",22,0.55,0.314285714285714,0.628571428571429,0.541666666666667,0.428571428571429
"108","knn",22,0.5625,0.298421448258582,0.8,0.458333333333333,0.285714285714286
"109","NB",22,0.55,0.297560975609756,0.714285714285714,0.5,0.333333333333333
"110","mlog",22,0.5625,0.316573102269954,0.714285714285714,0.541666666666667,0.333333333333333
"111","rf",23,0.6125,0.395269446476469,0.756756756756757,0.631578947368421,0.375
"112","nnet",23,0.575,0.337554797856795,0.72972972972973,0.578947368421053,0.333333333333333
"113","knn",23,0.6125,0.404561824729892,0.72972972972973,0.684210526315789,0.375
"114","NB",23,0.675,0.490196078431373,0.864864864864865,0.631578947368421,0.416666666666667
"115","mlog",23,0.675,0.491442542787286,0.864864864864865,0.631578947368421,0.416666666666667
"116","rf",24,0.5625,0.312883435582822,0.722222222222222,0.666666666666667,0.217391304347826
"117","nnet",24,0.5625,0.32724651609803,0.666666666666667,0.619047619047619,0.347826086956522
"118","knn",24,0.5875,0.334174022698613,0.833333333333333,0.571428571428571,0.217391304347826
"119","NB",24,0.55,0.290465631929047,0.75,0.476190476190476,0.304347826086957
"120","mlog",24,0.5625,0.319066147859922,0.694444444444444,0.619047619047619,0.304347826086957
"121","rf",25,0.4875,0.177944862155388,0.717948717948718,0.466666666666667,0.153846153846154
"122","nnet",25,0.5875,0.336016096579477,0.897435897435897,0.8,0
"123","knn",25,0.5875,0.329268292682927,0.82051282051282,0.733333333333333,0.153846153846154
"124","NB",25,0.6,0.354513363590519,0.769230769230769,0.666666666666667,0.307692307692308
"125","mlog",25,0.65,0.425051334702259,0.846153846153846,0.6,0.384615384615385
"126","rf",26,0.6125,0.361318568117435,0.82051282051282,0.590909090909091,0.210526315789474
"127","nnet",26,0.6625,0.42230542925916,0.923076923076923,0.772727272727273,0
"128","knn",26,0.6375,0.375504710632571,0.948717948717949,0.5,0.157894736842105
"129","NB",26,0.6375,0.393305439330544,0.923076923076923,0.409090909090909,0.315789473684211
"130","mlog",26,0.6375,0.398652151373769,0.871794871794872,0.5,0.315789473684211
"131","rf",27,0.675,0.426206896551724,0.904761904761905,0.565217391304348,0.2
"132","nnet",27,0.675,0.414084507042254,0.904761904761905,0.695652173913043,0
"133","knn",27,0.6875,0.440402909904868,0.904761904761905,0.652173913043478,0.133333333333333
"134","NB",27,0.6875,0.444135630906059,0.904761904761905,0.608695652173913,0.2
"135","mlog",27,0.675,0.438747976254722,0.880952380952381,0.565217391304348,0.266666666666667
"136","rf",28,0.675,0.477255591857251,0.8,0.684210526315789,0.428571428571429
"137","nnet",28,0.625,0.403430275913497,0.775,0.578947368421053,0.380952380952381
"138","knn",28,0.65,0.439579684763573,0.8,0.736842105263158,0.285714285714286
"139","NB",28,0.65,0.441117764471058,0.8,0.684210526315789,0.333333333333333
"140","mlog",28,0.65,0.424756034925527,0.85,0.684210526315789,0.238095238095238
"141","rf",29,0.625,0.360852197070573,0.829268292682927,0.545454545454545,0.235294117647059
"142","nnet",29,0.625,0.352576207175614,0.829268292682927,0.545454545454545,0.235294117647059
"143","knn",29,0.6625,0.429175475687104,0.878048780487805,0.5,0.352941176470588
"144","NB",29,0.65,0.426963417753901,0.829268292682927,0.5,0.411764705882353
"145","mlog",29,0.6375,0.386892177589852,0.853658536585366,0.545454545454545,0.235294117647059
"146","rf",30,0.575,0.344894026974952,0.75,0.6,0.291666666666667
"147","nnet",30,0.5625,0.320388349514563,0.777777777777778,0.6,0.208333333333333
"148","knn",30,0.625,0.401197604790419,0.888888888888889,0.65,0.208333333333333
"149","NB",30,0.55,0.28,0.833333333333333,0.45,0.208333333333333
